№,Level,Lesson,Chinese,Pinyin,Translation
1,HSK1,1,再见,zàijiàn,До свидания
2,HSK1,1,你好,nǐ hǎo,Здравствуйте
3,HSK1,1,谢谢,xièxiè,Спасибо
4,HSK1,1,对不起,duìbùqǐ,Простите
5,HSK1,1,没关系,méiguān xì,Нет проблем
6,HSK1,1,不谢,bùxiè,Нет проблем
7,HSK1,1,不客气,bù kèqì,Пожалуйста
8,HSK1,1,我,wǒ,я
9,HSK1,1,你,nǐ,ты
10,HSK1,1,他,tā,"он, она, это"
11,HSK1,2,人,rén,Человек
12,HSK1,2,国,guó,Страна
13,HSK1,2,中国,zhōng guó,Китай
14,HSK1,2,学生,xué sheng,Студент
15,HSK1,2,是,shì,есть
16,HSK1,2,吗,ma,вопросительный вопрос
17,HSK1,2,老师,lǎo shī,Учитель
18,HSK1,2,叫,jiào,Звать
19,HSK1,2,什么,shén me,"Как, что"
20,HSK1,2,名字,míng zi,Имя
21,HSK1,3,汉语,hàn yǔ,Китайский
22,HSK1,3,哪,nǎ,"какой, кто"
23,HSK1,3,谁,shéi,кто
24,HSK1,3,同学,tóng xué,одноклассник
25,HSK1,3,朋友,péng yǒu,друг
26,HSK1,3,的,de,частица принадлежности
27,HSK1,3,呢,ne,вопросительная частица
28,HSK1,4,零 ,líng,ноль
29,HSK1,4,一,yī,один
30,HSK1,4,二,èr,два
31,HSK1,4,三,sān,три
32,HSK1,4,四,sì,четыри
33,HSK1,4,五,wǔ,пять
34,HSK1,4,六,liù,шесть
35,HSK1,4,七,qī,семь
36,HSK1,4,八,bā,восемь
37,HSK1,4,九,jiǔ,девять
38,HSK1,4,十,shí,десять
39,HSK1,4,电话,diàn huà,номер телефона
40,HSK1,4,多少,duō shǎo,сколько
41,HSK1,4,口,kǒu,количественная частица
42,HSK1,4,家,jiā,семья
43,HSK1,4,女儿,nǚ ér,дочь
44,HSK1,4,有,yǒu,иметь
45,HSK1,4,几,jǐ,сколько
46,HSK1,4,岁,suì,лет 
47,HSK1,4,今年,jīn nián,этот год
48,HSK1,4,多,duō,сколько
49,HSK1,4,大,dà,большой
50,HSK1,4,了,le,частица изменения
51,HSK1,5,会,huì,"могу, умею"
52,HSK1,5,说,shuō,говорить
53,HSK1,5,写,xiě,писать
54,HSK1,5,读,dú,читать
55,HSK1,5,汉字,hàn zì,Китайские иероглифы
56,HSK1,5,做,zuò ,"делать, готовить, производить"
57,HSK1,5,妈妈,mā ma,мама
58,HSK1,5,菜,cài,блюдо
59,HSK1,5,怎么,zěn me ,как
60,HSK1,5,这个,zhè gè,это